Locus,Allele,Frequency
D18S51,24,0.0048 
D18S51,25,0.0014 
D18S51,26,0.0003 
D18S51,27,0.0004 
D18S51,28,0.0001 
vWA,12,0.0001 
vWA,13,0.0014 
vWA,14,0.2494 
vWA,15,0.0330 
vWA,16,0.1723 
vWA,17,0.2493 
vWA,18,0.1948 
vWA,19,0.0838 
vWA,20,0.0143 
vWA,21,0.0014 
vWA,22,0.0001 
D10S1248,8,0.0020 
D10S1248,9,0.0001 
D10S1248,10,0.0011 
D10S1248,11,0.0042 
D10S1248,12,0.0723 
D10S1248,13,0.3773 
D10S1248,14,0.2260 
D10S1248,15,0.2121 
D10S1248,16,0.0898 
D10S1248,17,0.0138 
D10S1248,18,0.0012 
D20S482,9,0.0006 
D20S482,10,0.0254 
D20S482,10.3,0.0001 
D20S482,11,0.0091 
D20S482,12,0.0530 
D20S482,12.3,0.0001 
D20S482,13,0.2887 
D20S482,14,0.3935 
D20S482,15,0.1709 
D20S482,16,0.0567 
D20S482,17,0.0018 
D20S482,18,0.0002 
D5S2500,12,0.0001 
D5S2500,13,0.0005 
D5S2500,14,0.4041 
D5S2500,15,0.0002 
D5S2500,16,0.0016 
D5S2500,16.3,0.0001 
D5S2500,17,0.2684 
D5S2500,17.1,0.0001 
D5S2500,18,0.2295 
D5S2500,19,0.0043 
D5S2500,20,0.0785 
D5S2500,21,0.0012 
D5S2500,22,0.0001 
D5S2500,23,0.0110 
D5S2500,24,0.0005 
D11S4463,7.2,0.0001 
D11S4463,9,0.0027 
D11S4463,10,0.0003 
D11S4463,11,0.0050 
D11S4463,12,0.0499 
D11S4463,12.3,0.0001 
D11S4463,13,0.2263 
D11S4463,13.2,0.0001 
D11S4463,14,0.3165 
D11S4463,14.2,0.0002 
D11S4463,15,0.2554 
D11S4463,15.2,0.0002 
D11S4463,15.3,0.0002 
D11S4463,16,0.1175 
D11S4463,16.3,0.0001 
D11S4463,17,0.0216 
D11S4463,18,0.0039 
